,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
0,Brasil,,,76,,,,2022-01-01,52,210147125.0,22291507.0,3986,619105,49,21581668.0,90734.0,
1,Brasil,,,76,,,,2022-01-02,1,210147125.0,22293228.0,1721,619133,28,21581717.0,92378.0,
2,Brasil,,,76,,,,2022-01-03,1,210147125.0,22305078.0,11850,619209,76,21591847.0,94022.0,
3,Brasil,,,76,,,,2022-01-04,1,210147125.0,22323837.0,18759,619384,175,21603954.0,100499.0,
4,Brasil,,,76,,,,2022-01-05,1,210147125.0,22351104.0,27267,619513,129,21615473.0,116118.0,
5,Brasil,,,76,,,,2022-01-06,1,210147125.0,22386930.0,35826,619641,128,21626836.0,140453.0,
6,Brasil,,,76,,,,2022-01-07,1,210147125.0,22450222.0,63292,619822,181,21650151.0,180249.0,
7,Brasil,,,76,,,,2022-01-08,1,210147125.0,22499525.0,49303,619937,115,21652319.0,227269.0,
8,Brasil,,,76,,,,2022-01-09,2,210147125.0,22523907.0,24382,619981,44,21634074.0,269852.0,
9,Brasil,,,76,,,,2022-01-10,2,210147125.0,22558695.0,34788,620091,110,21636133.0,302471.0,
10,Brasil,,,76,,,,2022-01-11,2,210147125.0,22629460.0,70765,620238,147,21667147.0,342075.0,
11,Brasil,,,76,,,,2022-01-12,2,210147125.0,22716931.0,87471,620371,133,21694064.0,402496.0,
12,Brasil,,,76,,,,2022-01-13,2,210147125.0,22814917.0,97986,620545,174,21710831.0,483541.0,
13,Brasil,,,76,,,,2022-01-14,2,210147125.0,22927203.0,112286,620796,251,21728937.0,577470.0,
14,Brasil,,,76,,,,2022-01-15,2,210147125.0,22975723.0,48520,620971,175,21697818.0,656934.0,
15,Brasil,,,76,,,,2022-01-16,3,210147125.0,23000657.0,24934,621045,74,21668942.0,710670.0,
16,Brasil,,,76,,,,2022-01-17,3,210147125.0,23074791.0,74134,621166,121,21704050.0,749575.0,
17,Brasil,,,76,,,,2022-01-18,3,210147125.0,23211894.0,137103,621517,351,21773085.0,817292.0,
18,Brasil,,,76,,,,2022-01-19,3,210147125.0,23416748.0,204854,621855,338,21848301.0,946592.0,
19,Brasil,,,76,,,,2022-01-20,3,210147125.0,23585243.0,168495,622205,350,21851922.0,1111116.0,
20,Brasil,,,76,,,,2022-01-21,3,210147125.0,23751782.0,166539,622563,358,21844293.0,1284926.0,
21,Brasil,,,76,,,,2022-01-22,3,210147125.0,23909175.0,157393,622801,238,21848302.0,1438072.0,
22,Brasil,,,76,,,,2022-01-23,4,210147125.0,24044255.0,135080,623097,296,21849545.0,1571613.0,
23,Brasil,,,76,,,,2022-01-24,4,210147125.0,24127595.0,83340,623356,259,21834758.0,1669481.0,
24,Brasil,,,76,,,,2022-01-25,4,210147125.0,24311317.0,183722,623843,487,21926277.0,1761197.0,
25,Brasil,,,76,,,,2022-01-26,4,210147125.0,24535884.0,224567,624413,570,22036168.0,1875303.0,
26,Brasil,,,76,,,,2022-01-27,4,210147125.0,24764838.0,228954,625085,672,22098157.0,2041596.0,
27,Brasil,,,76,,,,2022-01-28,4,210147125.0,25034806.0,269968,625884,799,22162914.0,2246008.0,
28,Brasil,,,76,,,,2022-01-29,4,210147125.0,25214622.0,179816,626524,640,22159759.0,2428339.0,
29,Brasil,,,76,,,,2022-01-30,5,210147125.0,25348797.0,134175,626854,330,22163750.0,2558193.0,
30,Brasil,,,76,,,,2022-01-31,5,210147125.0,25426744.0,77947,627138,284,22196442.0,2603164.0,
31,Brasil,,,76,,,,2022-02-01,5,210147125.0,25620209.0,193465,628067,929,22353361.0,2638781.0,
32,Brasil,,,76,,,,2022-02-02,5,210147125.0,25793112.0,172903,628960,893,22464029.0,2700123.0,
33,Brasil,,,76,,,,2022-02-03,5,210147125.0,26091520.0,298408,630001,1041,22602506.0,2859013.0,
34,Brasil,,,76,,,,2022-02-04,5,210147125.0,26275831.0,184311,630494,493,22617665.0,3027672.0,
