,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
35,Norte,RO,,11,,,,2022-01-01,52,1777225.0,284660.0,34,6737,3,,,
36,Norte,RO,,11,,,,2022-01-02,1,1777225.0,284692.0,32,6739,2,,,
37,Norte,RO,,11,,,,2022-01-03,1,1777225.0,284783.0,91,6742,3,,,
38,Norte,RO,,11,,,,2022-01-04,1,1777225.0,285037.0,254,6745,3,,,
39,Norte,RO,,11,,,,2022-01-05,1,1777225.0,285269.0,232,6748,3,,,
40,Norte,RO,,11,,,,2022-01-06,1,1777225.0,285660.0,391,6756,8,,,
41,Norte,RO,,11,,,,2022-01-07,1,1777225.0,286039.0,379,6761,5,,,
42,Norte,RO,,11,,,,2022-01-08,1,1777225.0,286280.0,241,6764,3,,,
43,Norte,RO,,11,,,,2022-01-09,2,1777225.0,286462.0,182,6763,-1,,,
44,Norte,RO,,11,,,,2022-01-10,2,1777225.0,286791.0,329,6769,6,,,
45,Norte,RO,,11,,,,2022-01-11,2,1777225.0,287377.0,586,6775,6,,,
46,Norte,RO,,11,,,,2022-01-12,2,1777225.0,288173.0,796,6778,3,,,
47,Norte,RO,,11,,,,2022-01-13,2,1777225.0,288595.0,422,6782,4,,,
48,Norte,RO,,11,,,,2022-01-14,2,1777225.0,289419.0,824,6787,5,,,
49,Norte,RO,,11,,,,2022-01-15,2,1777225.0,290050.0,631,6789,2,,,
50,Norte,RO,,11,,,,2022-01-16,3,1777225.0,290677.0,627,6790,1,,,
51,Norte,RO,,11,,,,2022-01-17,3,1777225.0,291441.0,764,6791,1,,,
52,Norte,RO,,11,,,,2022-01-18,3,1777225.0,293052.0,1611,6795,4,,,
53,Norte,RO,,11,,,,2022-01-19,3,1777225.0,294764.0,1712,6798,3,,,
54,Norte,RO,,11,,,,2022-01-20,3,1777225.0,296395.0,1631,6800,2,,,
55,Norte,RO,,11,,,,2022-01-21,3,1777225.0,298451.0,2056,6805,5,,,
56,Norte,RO,,11,,,,2022-01-22,3,1777225.0,300120.0,1669,6806,1,,,
57,Norte,RO,,11,,,,2022-01-23,4,1777225.0,301706.0,1586,6807,1,,,
58,Norte,RO,,11,,,,2022-01-24,4,1777225.0,303115.0,1409,6810,3,,,
59,Norte,RO,,11,,,,2022-01-25,4,1777225.0,305566.0,2451,6814,4,,,
60,Norte,RO,,11,,,,2022-01-26,4,1777225.0,307568.0,2002,6821,7,,,
61,Norte,RO,,11,,,,2022-01-27,4,1777225.0,309783.0,2215,6822,1,,,
62,Norte,RO,,11,,,,2022-01-28,4,1777225.0,312107.0,2324,6827,5,,,
63,Norte,RO,,11,,,,2022-01-29,4,1777225.0,314027.0,1920,6827,0,,,
64,Norte,RO,,11,,,,2022-01-30,5,1777225.0,316282.0,2255,6830,3,,,
65,Norte,RO,,11,,,,2022-01-31,5,1777225.0,318313.0,2031,6833,3,,,
66,Norte,RO,,11,,,,2022-02-01,5,1777225.0,320984.0,2671,6837,4,,,
67,Norte,RO,,11,,,,2022-02-02,5,1777225.0,323699.0,2715,6844,7,,,
68,Norte,RO,,11,,,,2022-02-03,5,1777225.0,326272.0,2573,6846,2,,,
69,Norte,RO,,11,,,,2022-02-04,5,1777225.0,329658.0,3386,6857,11,,,
70,Norte,AC,,12,,,,2022-01-01,52,881935.0,88386.0,2,1851,0,,,
71,Norte,AC,,12,,,,2022-01-02,1,881935.0,88386.0,0,1851,0,,,
72,Norte,AC,,12,,,,2022-01-03,1,881935.0,88395.0,9,1851,0,,,
73,Norte,AC,,12,,,,2022-01-04,1,881935.0,88395.0,0,1852,1,,,
74,Norte,AC,,12,,,,2022-01-05,1,881935.0,88395.0,0,1852,0,,,
75,Norte,AC,,12,,,,2022-01-06,1,881935.0,88403.0,8,1852,0,,,
76,Norte,AC,,12,,,,2022-01-07,1,881935.0,88403.0,0,1852,0,,,
77,Norte,AC,,12,,,,2022-01-08,1,881935.0,88403.0,0,1852,0,,,
78,Norte,AC,,12,,,,2022-01-09,2,881935.0,88403.0,0,1852,0,,,
79,Norte,AC,,12,,,,2022-01-10,2,881935.0,88440.0,37,1852,0,,,
80,Norte,AC,,12,,,,2022-01-11,2,881935.0,88628.0,188,1854,2,,,
81,Norte,AC,,12,,,,2022-01-12,2,881935.0,88813.0,185,1854,0,,,
82,Norte,AC,,12,,,,2022-01-13,2,881935.0,89244.0,431,1854,0,,,
83,Norte,AC,,12,,,,2022-01-14,2,881935.0,89529.0,285,1854,0,,,
84,Norte,AC,,12,,,,2022-01-15,2,881935.0,89635.0,106,1854,0,,,
85,Norte,AC,,12,,,,2022-01-16,3,881935.0,89801.0,166,1854,0,,,
86,Norte,AC,,12,,,,2022-01-17,3,881935.0,90250.0,449,1854,0,,,
87,Norte,AC,,12,,,,2022-01-18,3,881935.0,90299.0,49,1854,0,,,
88,Norte,AC,,12,,,,2022-01-19,3,881935.0,91471.0,1172,1854,0,,,
89,Norte,AC,,12,,,,2022-01-20,3,881935.0,91781.0,310,1854,0,,,
90,Norte,AC,,12,,,,2022-01-21,3,881935.0,92004.0,223,1854,0,,,
91,Norte,AC,,12,,,,2022-01-22,3,881935.0,93533.0,1529,1855,1,,,
92,Norte,AC,,12,,,,2022-01-23,4,881935.0,93724.0,191,1857,2,,,
93,Norte,AC,,12,,,,2022-01-24,4,881935.0,95091.0,1367,1857,0,,,
94,Norte,AC,,12,,,,2022-01-25,4,881935.0,95594.0,503,1857,0,,,
95,Norte,AC,,12,,,,2022-01-26,4,881935.0,96532.0,938,1860,3,,,
96,Norte,AC,,12,,,,2022-01-27,4,881935.0,96834.0,302,1861,1,,,
97,Norte,AC,,12,,,,2022-01-28,4,881935.0,97430.0,596,1861,0,,,
98,Norte,AC,,12,,,,2022-01-29,4,881935.0,97829.0,399,1866,5,,,
99,Norte,AC,,12,,,,2022-01-30,5,881935.0,98149.0,320,1868,2,,,
100,Norte,AC,,12,,,,2022-01-31,5,881935.0,101260.0,3111,1871,3,,,
101,Norte,AC,,12,,,,2022-02-01,5,881935.0,101417.0,157,1877,6,,,
102,Norte,AC,,12,,,,2022-02-02,5,881935.0,102866.0,1449,1877,0,,,
103,Norte,AC,,12,,,,2022-02-03,5,881935.0,105014.0,2148,1881,4,,,
104,Norte,AC,,12,,,,2022-02-04,5,881935.0,105843.0,829,1886,5,,,
105,Norte,AM,,13,,,,2022-01-01,52,4144597.0,433850.0,37,13836,1,,,
106,Norte,AM,,13,,,,2022-01-02,1,4144597.0,433882.0,32,13837,1,,,
107,Norte,AM,,13,,,,2022-01-03,1,4144597.0,433970.0,88,13838,1,,,
108,Norte,AM,,13,,,,2022-01-04,1,4144597.0,434142.0,172,13838,0,,,
109,Norte,AM,,13,,,,2022-01-05,1,4144597.0,434320.0,178,13839,1,,,
110,Norte,AM,,13,,,,2022-01-06,1,4144597.0,434595.0,275,13842,3,,,
111,Norte,AM,,13,,,,2022-01-07,1,4144597.0,434958.0,363,13843,1,,,
112,Norte,AM,,13,,,,2022-01-08,1,4144597.0,435384.0,426,13844,1,,,
113,Norte,AM,,13,,,,2022-01-09,2,4144597.0,435749.0,365,13846,2,,,
114,Norte,AM,,13,,,,2022-01-10,2,4144597.0,435978.0,229,13849,3,,,
115,Norte,AM,,13,,,,2022-01-11,2,4144597.0,437197.0,1219,13850,1,,,
116,Norte,AM,,13,,,,2022-01-12,2,4144597.0,438856.0,1659,13851,1,,,
117,Norte,AM,,13,,,,2022-01-13,2,4144597.0,441260.0,2404,13855,4,,,
118,Norte,AM,,13,,,,2022-01-14,2,4144597.0,444042.0,2782,13856,1,,,
119,Norte,AM,,13,,,,2022-01-15,2,4144597.0,446680.0,2638,13856,0,,,
120,Norte,AM,,13,,,,2022-01-16,3,4144597.0,449759.0,3079,13857,1,,,
121,Norte,AM,,13,,,,2022-01-17,3,4144597.0,452433.0,2674,13858,1,,,
122,Norte,AM,,13,,,,2022-01-18,3,4144597.0,457408.0,4975,13860,2,,,
123,Norte,AM,,13,,,,2022-01-19,3,4144597.0,464913.0,7505,13863,3,,,
124,Norte,AM,,13,,,,2022-01-20,3,4144597.0,473232.0,8319,13869,6,,,
125,Norte,AM,,13,,,,2022-01-21,3,4144597.0,481295.0,8063,13881,12,,,
126,Norte,AM,,13,,,,2022-01-22,3,4144597.0,488762.0,7467,13881,0,,,
127,Norte,AM,,13,,,,2022-01-23,4,4144597.0,491973.0,3211,13886,5,,,
128,Norte,AM,,13,,,,2022-01-24,4,4144597.0,495528.0,3555,13892,6,,,
129,Norte,AM,,13,,,,2022-01-25,4,4144597.0,502862.0,7334,13902,10,,,
130,Norte,AM,,13,,,,2022-01-26,4,4144597.0,509128.0,6266,13908,6,,,
131,Norte,AM,,13,,,,2022-01-27,4,4144597.0,515440.0,6312,13913,5,,,
132,Norte,AM,,13,,,,2022-01-28,4,4144597.0,521451.0,6011,13922,9,,,
133,Norte,AM,,13,,,,2022-01-29,4,4144597.0,526320.0,4869,13928,6,,,
134,Norte,AM,,13,,,,2022-01-30,5,4144597.0,528268.0,1948,13936,8,,,
135,Norte,AM,,13,,,,2022-01-31,5,4144597.0,529876.0,1608,13949,13,,,
136,Norte,AM,,13,,,,2022-02-01,5,4144597.0,534592.0,4716,13962,13,,,
137,Norte,AM,,13,,,,2022-02-02,5,4144597.0,537441.0,2849,13981,19,,,
138,Norte,AM,,13,,,,2022-02-03,5,4144597.0,541668.0,4227,13991,10,,,
139,Norte,AM,,13,,,,2022-02-04,5,4144597.0,545165.0,3497,13998,7,,,
140,Norte,RR,,14,,,,2022-01-01,52,605761.0,129086.0,0,2078,0,,,
141,Norte,RR,,14,,,,2022-01-02,1,605761.0,129086.0,0,2078,0,,,
142,Norte,RR,,14,,,,2022-01-03,1,605761.0,129086.0,0,2078,0,,,
143,Norte,RR,,14,,,,2022-01-04,1,605761.0,129220.0,134,2078,0,,,
144,Norte,RR,,14,,,,2022-01-05,1,605761.0,129336.0,116,2078,0,,,
145,Norte,RR,,14,,,,2022-01-06,1,605761.0,129452.0,116,2078,0,,,
146,Norte,RR,,14,,,,2022-01-07,1,605761.0,129653.0,201,2078,0,,,
147,Norte,RR,,14,,,,2022-01-08,1,605761.0,129883.0,230,2078,0,,,
148,Norte,RR,,14,,,,2022-01-09,2,605761.0,130119.0,236,2078,0,,,
149,Norte,RR,,14,,,,2022-01-10,2,605761.0,130305.0,186,2078,0,,,
150,Norte,RR,,14,,,,2022-01-11,2,605761.0,130541.0,236,2078,0,,,
151,Norte,RR,,14,,,,2022-01-12,2,605761.0,130981.0,440,2078,0,,,
152,Norte,RR,,14,,,,2022-01-13,2,605761.0,131529.0,548,2078,0,,,
153,Norte,RR,,14,,,,2022-01-14,2,605761.0,132113.0,584,2078,0,,,
154,Norte,RR,,14,,,,2022-01-15,2,605761.0,132526.0,413,2078,0,,,
155,Norte,RR,,14,,,,2022-01-16,3,605761.0,132848.0,322,2078,0,,,
156,Norte,RR,,14,,,,2022-01-17,3,605761.0,133029.0,181,2078,0,,,
157,Norte,RR,,14,,,,2022-01-18,3,605761.0,133380.0,351,2082,4,,,
158,Norte,RR,,14,,,,2022-01-19,3,605761.0,134053.0,673,2082,0,,,
